date,t1,t2,t1_rating,t2_rating,rating_difference,t1_rating_change,t2_rating_change,t1_win
2014-04-17 00:00:00+02:00,fm!TOXiC,Expert Gaming,1004.0,1000.0,4.0,30,-30,1
2014-06-15 20:00:00+02:00,Lemondogs CS,Expert Gaming,1013.0,970.0,43.0,16,-26,1
2014-06-27 23:30:00+02:00,All-Stars North America,All-Stars Europe,1000.0,1000.0,0.0,0,0,1
2014-06-30 19:00:00+02:00,UNNAMED.CS,es4x,1000.0,1000.0,0.0,-8,8,0
2014-07-05 19:00:00+02:00,UNNAMED.CS,FaithCS,981.0,882.0,99.0,-10,10,0
2014-07-18 10:00:00+02:00,Outbreak,webSPELL,1000.0,1000.0,0.0,-20,20,0
2014-07-18 14:00:00+02:00,Outbreak,Geduld,980.0,989.0,-9.0,21,-21,1
2014-07-18 14:00:00+02:00,HybriD,Anima,980.0,991.0,-11.0,21,-21,1
2014-07-18 16:00:00+02:00,Outbreak,webSPELL,1001.0,1009.0,-8.0,20,-20,1
2014-07-27 14:00:00+02:00,SVETTiGA,Rasta.B2G,1000.0,999.0,1.0,5,-5,1
2014-07-29 20:00:00+02:00,4andahalfmen,thechaps,1004.0,1000.0,4.0,7,-7,1
2014-07-29 22:00:00+02:00,SVETTiGA,4andahalfmen,1022.0,1011.0,11.0,7,-7,1
2014-07-31 16:00:00+02:00,Team Menace.,TOOMUCHVIDEOGAMES,1002.0,1000.0,2.0,17,-17,1
2014-07-31 18:30:00+02:00,TOOMUCHVIDEOGAMES,Joutsenlaulu,983.0,982.0,1.0,17,-17,1
2014-07-31 19:30:00+02:00,Team Menace.,TOOMUCHVIDEOGAMES,1001.0,1000.0,1.0,17,-17,1
2014-07-31 23:00:00+02:00,naMNam,myRevenge,999.0,908.0,91.0,-22,22,0
2014-08-01 04:30:00+02:00,Global Gaming eSports,Justus Pro,982.0,969.0,13.0,-8,8,0
2014-08-01 16:00:00+02:00,Games4u.se,Paranoia eSports,1000.0,1000.0,0.0,18,-18,1
2014-08-01 17:15:00+02:00,Games4u.se,Expert Gaming,1018.0,948.0,70.0,14,-14,1
2014-08-01 21:15:00+02:00,Recursive eSports,MARVEL,984.0,982.0,2.0,17,-17,1
2014-08-02 12:30:00+02:00,Games4u.se,Recursive eSports,1032.0,1018.0,14.0,-29,29,0
2014-08-02 15:30:00+02:00,Recursive eSports,myRevenge,1047.0,965.0,82.0,-34,34,0
2014-08-02 21:00:00+02:00,Fnatic 2008,mTw 2008,1000.0,1000.0,0.0,0,0,0
2014-08-05 20:00:00+02:00,thechaps,4andahalfmen,993.0,1004.0,-11.0,-7,7,0
2014-08-05 20:00:00+02:00,Rasta.B2G,SVETTiGA,994.0,1029.0,-35.0,8,-8,1
2014-08-05 21:15:00+02:00,4andahalfmen,Rasta.B2G,1011.0,1002.0,9.0,7,-7,1
2014-08-12 04:00:00+02:00,Global Gaming eSports,VexX Gaming eSports,983.0,1001.0,-18.0,8,-8,1
2014-08-12 20:45:00+02:00,United Estonia,SVETTiGA,993.0,1021.0,-28.0,8,-8,1
2014-08-12 20:45:00+02:00,4andahalfmen,Rasta.B2G,1018.0,995.0,23.0,7,-7,1
2014-08-12 22:30:00+02:00,4andahalfmen,United Estonia,1025.0,1001.0,24.0,-8,8,0
2014-08-19 20:30:00+02:00,thechaps,TheGayMole,986.0,1000.0,-14.0,-7,7,0
2014-08-20 04:00:00+02:00,Global Gaming eSports,Tempo Gaming,983.0,980.0,3.0,7,-7,1
2014-08-22 17:30:00+02:00,NO SIR!,ELTZ,991.0,908.0,83.0,4,-4,1
2014-08-23 20:45:00+02:00,HeadshotBG.CS,A-gaming,982.0,1005.0,-23.0,-5,5,0
2014-08-23 22:45:00+02:00,ELTZ,OneShot,904.0,1000.0,-96.0,-4,4,0
2014-08-24 00:00:00+02:00,Global Gaming eSports,Exertus,990.0,1057.0,-67.0,-6,6,0
2014-08-24 00:00:00+02:00,VexX Gaming eSports,Justus Pro,987.0,978.0,9.0,7,-7,1
2014-08-24 20:00:00+02:00,OneShot,A-gaming,1004.0,1010.0,-6.0,-5,5,0
2014-08-26 20:00:00+02:00,97club,UNNAMED.CS,994.0,962.0,32.0,7,-7,1
2014-08-28 05:00:00+02:00,Global Gaming eSports,Reliable,984.0,913.0,71.0,-9,9,0
2014-09-02 04:45:00+02:00,Reliable,Justus Pro,918.0,972.0,-54.0,-6,6,0
2014-09-02 05:00:00+02:00,savage,VexX Gaming eSports,1015.0,989.0,26.0,7,-7,1
2014-09-02 20:00:00+02:00,97club,FaithCS,1001.0,892.0,109.0,5,-5,1
2014-09-02 20:00:00+02:00,United Estonia,4andahalfmen,1009.0,1017.0,-8.0,8,-8,1
2014-09-02 20:00:00+02:00,you stay classy,Rasta.B2G,1000.0,988.0,12.0,7,-7,1
2014-09-02 22:45:00+02:00,you stay classy,United Estonia,1007.0,1017.0,-10.0,-7,7,0
2014-09-03 05:00:00+02:00,Make War Not Love,savage,962.0,1022.0,-60.0,-6,6,0
2014-09-04 20:00:00+02:00,Portugal.CS,Serbia.CS,1000.0,1000.0,0.0,0,0,0
2014-09-07 19:00:00+02:00,Kazakhstan.CS,Bosnia and Herzegovina.CS,1000.0,1000.0,0.0,0,0,0
2014-09-11 19:00:00+02:00,Hungary.CS,Kazakhstan.CS,1000.0,1000.0,0.0,0,0,0
2014-09-15 20:00:00+02:00,Rasta.B2G,7GR,981.0,991.0,-10.0,8,-8,1
2014-09-15 20:00:00+02:00,4andahalfmen,Job Seekers,1009.0,1000.0,9.0,7,-7,1
2014-09-15 22:00:00+02:00,"Back to Uni, Back to Girls",United Estonia,1000.0,1024.0,-24.0,-7,7,0
2014-09-16 20:00:00+02:00,4andahalfmen,thechaps,1016.0,986.0,30.0,7,-7,1
2014-09-16 20:00:00+02:00,United Estonia,Rasta.B2G,1031.0,989.0,42.0,7,-7,1
2014-09-16 23:45:00+02:00,United Estonia,4andahalfmen,1038.0,1023.0,15.0,7,-7,1
2014-09-18 18:00:00+02:00,97club,es4x,1006.0,989.0,17.0,7,-7,1
2014-09-21 18:00:00+02:00,HAXCON,Black Ravens Ltd,1000.0,1000.0,0.0,-5,5,0
2014-09-23 22:00:00+02:00,The Lone Rangers,A-gaming,988.0,947.0,41.0,20,-20,1
2014-09-23 22:00:00+02:00,Czech Republic.CS,Kazakhstan.CS,1000.0,1000.0,0.0,0,0,0
2014-09-25 20:00:00+02:00,Bosnia and Herzegovina.CS,Hungary.CS,1000.0,1000.0,0.0,0,0,0
2014-09-28 20:00:00+02:00,Black Ravens Ltd,ePlay.eps,1005.0,995.0,10.0,-5,5,0
2014-09-28 21:00:00+02:00,Finland.CS,Serbia.CS,1000.0,1000.0,0.0,0,0,0
2014-10-01 20:00:00+02:00,Norway.CS,Belarus.CS,1000.0,1000.0,0.0,0,0,1
2014-10-01 20:00:00+02:00,AMNESIA,Black Ravens Ltd,995.0,1000.0,-5.0,-5,5,0
2014-10-02 03:00:00+02:00,savage,Aware Gaming,949.0,964.0,-15.0,-24,24,0
2014-10-05 21:00:00+02:00,Latvia.CS,Macedonia.CS,1000.0,1000.0,0.0,0,0,0
2014-10-06 19:00:00+02:00,eliminacja,Black Ravens Ltd,990.0,1005.0,-15.0,-5,5,0
2014-10-06 20:00:00+02:00,es4x,FaithCS,982.0,878.0,104.0,-10,10,0
2014-10-08 22:00:00+02:00,HAXCON,ePlay.eps,985.0,995.0,-10.0,-5,5,0
2014-10-10 19:00:00+02:00,Finland.CS,Portugal.CS,1000.0,1000.0,0.0,0,0,1
2014-10-11 10:00:00+02:00,es4x,TBEB,972.0,1000.0,-28.0,5,-5,1
2014-10-11 13:00:00+02:00,Art of Cybergame,Nothing Personal,1000.0,1000.0,0.0,5,-5,1
2014-10-11 13:00:00+02:00,A-gaming,Asus CyberZone,908.0,1000.0,-92.0,-4,4,0
2014-10-11 19:00:00+02:00,A-gaming,Nothing Personal,904.0,995.0,-91.0,-4,4,0
2014-10-11 19:00:00+02:00,Art of Cybergame,Asus CyberZone,1005.0,1004.0,1.0,-5,5,0
2014-10-12 10:00:00+02:00,Nothing Personal,Art of Cybergame,999.0,1000.0,-1.0,5,-5,1
2014-10-12 17:00:00+02:00,AMNESIA,eliminacja,985.0,985.0,0.0,5,-5,1
2014-10-12 18:00:00+02:00,AMNESIA,ALSEN,990.0,1011.0,-21.0,5,-5,1
2014-10-12 19:00:00+02:00,AMNESIA,ePlay.eps,995.0,1000.0,-5.0,5,-5,1
2014-10-12 20:00:00+02:00,Portugal.CS,Germany.CS,1000.0,1000.0,0.0,0,0,1
2014-10-12 20:00:00+02:00,eliminacja,HAXCON,980.0,980.0,0.0,-5,5,0
2014-10-12 21:15:00+02:00,Germany.CS,Serbia.CS,1000.0,1000.0,0.0,0,0,1
2014-10-15 20:00:00+02:00,AMNESIA,HAXCON,1000.0,985.0,15.0,-5,5,0
2014-10-15 23:00:00+02:00,ePlay.eps,eliminacja,995.0,975.0,20.0,5,-5,1
2014-10-16 22:00:00+02:00,Czech Republic.CS,Bosnia and Herzegovina.CS,1000.0,1000.0,0.0,0,0,0
2014-10-19 21:00:00+02:00,ALSEN,ePlay.eps,1001.0,1000.0,1.0,5,-5,1
2014-10-20 19:00:00+02:00,LeiSuRe,SPÜRHUNDE,985.0,995.0,-10.0,8,-8,1
2014-10-20 20:00:00+02:00,ALSEN,eliminacja,1006.0,970.0,36.0,-6,6,0
